service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20190114,20190620
2,0,0,0,0,0,0,0,20190112,20190620
3,0,0,0,0,0,0,0,20190112,20190616
4,0,0,0,0,0,0,0,20190114,20190620
5,0,0,0,0,0,0,0,20190112,20190615
6,0,0,0,0,0,0,0,20190114,20190620
7,0,0,0,0,0,0,0,20190113,20190620
8,0,0,0,0,0,0,0,20190114,20190614
9,0,0,0,0,0,0,0,20190114,20190612
10,0,0,0,0,0,0,0,20190114,20190610
11,0,0,0,0,0,0,0,20190112,20190616
12,0,0,0,0,0,0,0,20190115,20190612
13,0,0,0,0,0,0,0,20190114,20190610
14,0,0,0,0,0,0,0,20190117,20190606
15,0,0,0,0,0,0,0,20190116,20190612
16,0,0,0,0,0,0,0,20190117,20190606
17,0,0,0,0,0,0,0,20190115,20190611
18,0,0,0,0,0,0,0,20190118,20190524
19,0,0,0,0,0,0,0,20190115,20190611
20,0,0,0,0,0,0,0,20190115,20190611
21,0,0,0,0,0,0,0,20190114,20190612
22,0,0,0,0,0,0,0,20190118,20190614
23,0,0,0,0,0,0,0,20190113,20190616
24,0,0,0,0,0,0,0,20190112,20190615
25,0,0,0,0,0,0,0,20190118,20190614
26,0,0,0,0,0,0,0,20190113,20190616
27,0,0,0,0,0,0,0,20190112,20190615
28,0,0,0,0,0,0,0,20190114,20190611
29,0,0,0,0,0,0,0,20190114,20190613
30,0,0,0,0,0,0,0,20190113,20190616
31,0,0,0,0,0,0,0,20190114,20190114
32,0,0,0,0,0,0,0,20190115,20190614
33,0,0,0,0,0,0,0,20190218,20190614
34,0,0,0,0,0,0,0,20190114,20190612
35,0,0,0,0,0,0,0,20190114,20190612
36,0,0,0,0,0,0,0,20190115,20190612
37,0,0,0,0,0,0,0,20190112,20190620
38,0,0,0,0,0,0,0,20190114,20190610
39,0,0,0,0,0,0,0,20190115,20190612
40,0,0,0,0,0,0,0,20190114,20190613
41,0,0,0,0,0,0,0,20190115,20190611
42,0,0,0,0,0,0,0,20190114,20190612
43,0,0,0,0,0,0,0,20190114,20190614
44,0,0,0,0,0,0,0,20190118,20190614
45,0,0,0,0,0,0,0,20190422,20190606
46,0,0,0,0,0,0,0,20190114,20190612
47,0,0,0,0,0,0,0,20190114,20190611
48,0,0,0,0,0,0,0,20190112,20190615
49,0,0,0,0,0,0,0,20190113,20190620
50,0,0,0,0,0,0,0,20190112,20190620
51,0,0,0,0,0,0,0,20190216,20190217
52,0,0,0,0,0,0,0,20190114,20190611
53,0,0,0,0,0,0,0,20190116,20190612
54,0,0,0,0,0,0,0,20190114,20190612
55,0,0,0,0,0,0,0,20190113,20190616
56,0,0,0,0,0,0,0,20190112,20190615
57,0,0,0,0,0,0,0,20190112,20190616
58,0,0,0,0,0,0,0,20190421,20190421
59,0,0,0,0,0,0,0,20190116,20190605
60,0,0,0,0,0,0,0,20190225,20190614
61,0,0,0,0,0,0,0,20190114,20190611
62,0,0,0,0,0,0,0,20190118,20190524
63,0,0,0,0,0,0,0,20190114,20190611
64,0,0,0,0,0,0,0,20190112,20190615
65,0,0,0,0,0,0,0,20190113,20190616
66,0,0,0,0,0,0,0,20190402,20190606
67,0,0,0,0,0,0,0,20190118,20190614
68,0,0,0,0,0,0,0,20190114,20190610
69,0,0,0,0,0,0,0,20190115,20190612
70,0,0,0,0,0,0,0,20190113,20190616
71,0,0,0,0,0,0,0,20190114,20190611
72,0,0,0,0,0,0,0,20190116,20190612
